cluster_id,count,centroid_lat,centroid_lon,first_date,last_date,persistence_days,max_frp,avg_frp,max_priority,max_fusion,dominant_label,industrial_context,nearest_facility_name,nearest_facility_type,dist_to_industrial_km
C43,4,8.734482499999999,78.10169,2026-08-28,2026-08-29,2,9.62,6.21,0.42,0.0,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Thermal power plant,471.0
C19,7,9.283264285714285,78.3964942857143,2026-08-28,2026-08-28,1,7.43,4.7,0.4,0.05,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Thermal power plant,402.1
C68,3,14.491176666666668,79.70998999999999,2026-08-28,2026-08-28,1,6.57,6.2,0.36,0.0,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,61.74
C119,2,15.02354,79.75197499999999,2026-08-26,2026-08-28,3,5.67,4.09,0.33,0.0,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,118.03
C120,2,15.63581,79.58577500000001,2026-08-28,2026-08-28,1,7.27,6.02,0.39,0.01,insufficient_evidence,No nearby industrial zone,"APSRTC Bus Depot , Venkatagiri",Industrial area,187.93
C121,2,9.331050000000001,77.5255,2026-08-28,2026-08-28,1,4.97,3.34,0.31,0.01,insufficient_evidence,No nearby industrial zone,"SIPCOT Mamandur, Cheyyar",Industrial area,443.09
C122,2,9.416055,77.509465,2026-08-28,2026-08-28,1,2.78,2.12,0.28,0.0,insufficient_evidence,No nearby industrial zone,"SIPCOT Mamandur, Cheyyar",Industrial area,435.86
C69,3,22.928366666666665,70.10733,2026-08-25,2026-08-28,4,6.26,3.92,0.57,0.89,persistent_industrial_source,Within known industrial zone,Tuna-Tekra Container Terminal,Industrial area,1.06
C123,2,29.272455,71.179745,2026-08-28,2026-08-28,1,4.02,3.7,0.29,0.02,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,520.28
C124,2,24.116385,86.86024,2026-08-28,2026-08-28,1,1.75,1.5,0.19,0.02,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,21.83
C125,2,15.66023,73.98793,2026-08-28,2026-08-28,1,0.86,0.8,0.11,0.04,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,329.83
C14,8,8.1204775,80.8075575,2026-08-28,2026-08-28,1,2.69,1.9,0.29,0.02,insufficient_evidence,No nearby industrial zone,TNSTC Bus Depot,Industrial area,492.82
